Vehicles.SerialNumber,Vehicles.RegistrationNumber,Vehicles.Make,Vehicles.Model,Vehicles.NumberOfEngines,engine_count
30-1776,n8635y,piper,pa 30,1,2.0
30-1587,n555em,piper,pa 30,1,2.0
27888,n793sa,boeing,737 700,1,2.0
23-1751,n4252p,piper,pa 23 160,1,2.0
1051,n327,grumman,g 21a,1,2.0
30-882,n7803y,piper,pa 30,1,2.0
32-8006017,n8173j,piper,pa 32 301,2,1.0
39-37,n230sw,piper,pa 39,1,2.0
